"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"79","Adult Swim Games",312530,2700000,"Duck Game",2015,"Single-player Multi-player",9.99,0.96,0.82,0,1
"80","Adult Swim Games",452570,1800000,"Battle Chef Brigade Deluxe",2017,"Single-player Local Multi-Player",15.49,0.97,0.8,0,1
"81","Adult Swim Games",247240,1600000,"Volgarr the Viking",2013,"Single-player",6.99,0.81,0.76,1,1
"82","Adult Swim Games",224820,1400000,"Super House of Dead Ninjas",2013,"Single-player",4.99,0.96,0.79,1,1
"83","AGM PLAYISM",283680,910000,"Astebreed: Definitive Edition",2014,"Single-player",15.49,0.9,0.86,1,0
"84","AGM PLAYISM",230700,1500000,"La-Mulana",2013,"Single-player",10.99,0.81,0.8,1,0
"85","AGM PLAYISM",428550,2100000,"Momodora: Reverie Under The Moonlight",2016,"Single-player",6.99,0.94,0.82,1,0
"86","Akella",10220,420000,"Postal III",2012,"Single-player",8.99,0.37,0.24,1,0
"87","Alawar Premium",761620,1e+06,"Beholder 2",2018,"Single-player",9.99,0.84,0.76,1,0
"88","Alawar Premium",475550,3200000,"Beholder",2016,"Single-player",6.99,0.9,0.75,1,0
"89","Aleksey Abramenko",214970,1700000,"Intrusion 2",2012,"Single-player",6.49,0.84,0.8,1,0
"90","Alientrap",208750,1e+06,"Apotheon",2015,"Single-player",10.99,0.9,0.78,1,0
"91","Almost Human Games",207170,2700000,"Legend of Grimrock",2012,"Single-player",10.99,0.94,0.82,1,0
"92","Amanita Design",711660,340000,"CHUCHEL",2018,"Single-player",7.99,0.74,0.81,1,0
"93","Amanita Design",421120,1300000,"Samorost 3",2016,"Single-player",16.99,0.95,0.8,1,0
"94","Amanita Design",207690,1800000,"Botanicula",2012,"Single-player",7.99,0.96,0.82,1,0
"95","Amanita Design",40700,2600000,"Machinarium",2009,"Single-player",7.99,0.95,0.85,1,0
"96","Analgesic Productions",234900,1300000,"Anodyne",2013,"Single-player",6.99,0.85,0.75,1,0
"97","Ankama Games",215080,2200000,"WAKFU",2014,"Multi-player",0,0.77,0.76,0,0
"98","Annapurna Interactive",501300,890000,"What Remains of Edith Finch",2017,"Single-player",14.99,0.95,0.89,1,0
"99","Annapurna Interactive",557600,410000,"Gorogoa",2017,"Single-player",11.39,0.97,0.84,1,0
"100","Apogee Software",217140,1700000,"Rise of the Triad",2013,"Single-player Multi-player Online Multi-Player",10.99,0.68,0.67,0,0
"101","App Holdings",394760,990000,"Dead Effect 2",2016,"Single-player Multi-player",8.99,0.73,0.53,0,0
"102","Arc System Works",376300,1100000,"GUILTY GEAR Xrd -SIGN-",2015,"Single-player Multi-player",22.99,0.93,0.84,0,0
"103","Arcen Games, LLC",40400,2700000,"AI War: Fleet Command",2009,"Single-player Multi-player   Multiplayer",6.99,0.84,0.8,0,0
"104","Armor Games Studios",331480,1100000,"Pinstripe",2017,"Single-player",10.99,0.89,0.71,1,0
"105","Artifice Studio",227220,2400000,"Sang-Froid - Tales of Werewolves",2013,"Single-player",0,0.88,0.79,1,0
"106","Asmodee Digital",247000,2300000,"Talisman: Digital Edition",2014,"Single-player Multi-player Online Multi-Player Local Multi-Player   Multiplayer",5.19,0.75,0.51,0,0
"107","Aspyr",514900,2200000,">observer_",2017,"Single-player",22.99,0.81,0.78,1,0
"108","Aspyr",391720,8e+06,"Layers of Fear",2016,"Single-player",14.99,0.9,0.72,1,0
"109","Asteroid Base",252110,1100000,"Lovers in a Dangerous Spacetime",2015,"Single-player",10.99,0.95,0.8,1,0
"110","astragon Entertainment",501080,140000,"Fishing: Barents Sea",2018,"Single-player",17.99,0.72,0.69,1,0
"111","Asymmetric",597220,450000,"West of Loathing",2017,"Single-player",8.29,0.98,0.87,1,0
"112","Atari",285330,1900000,"RollerCoaster Tycoon® 2: Triple Thrill Pack",2014,"Single-player",6.99,0.86,0.74,1,0
"113","Atari;RCTO Productions",282560,250000,"RollerCoaster Tycoon World™",2016,"Single-player",10.99,0.25,0.43,1,1
"114","Aterdux Entertainment",246760,1200000,"Legends of Eisenwald",2015,"Single-player",14.99,0.77,0.71,1,0
"115","AtomTeam",552620,360000,"ATOM RPG: Post-apocalyptic indie game",2018,"Single-player",10.99,0.86,0.7,1,0
"116","Awesome Games Studio",307230,1700000,"I, Zombie",2014,"Single-player",1.59,0.83,0.65,1,0
"117","Awfully Nice Studios",350740,850000,"The Bug Butcher",2016,"Single-player Local",5.59,0.91,0.81,0,0
"118","BadFly Interactive, a.s.",286040,2100000,"Dead Effect",2014,"Single-player",3.99,0.72,0.59,1,0
"119","BANDAI NAMCO Entertainment",424840,7100000,"Little Nightmares",2017,"Single-player",15.99,0.89,0.81,1,1
"120","BANDAI NAMCO Entertainment",899440,430000,"GOD EATER 3",2019,"Single-player Online Multi-Player",39.99,0.77,0.71,0,1
"121","BANDAI NAMCO Entertainment",378860,2600000,"Project CARS 2",2017,"Single-player Multi-player Online Multi-Player",44.99,0.71,0.84,0,1
"122","BANDAI NAMCO Entertainment",272510,790000,"NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution",2014,"Single-player Multi-player",19.99,0.81,0.61,0,1
