id,name,owners,numbers
228280,Baldur's Gate: Enhanced Edition,,
228300,Remember Me,,
228360,Full Throttle Remastered,,
228380,Wreckfest,,
228760,TrackMania² Canyon,,
230070,The Age of Decadence,,
230270,N++ (NPLUSPLUS),,
230410,Warframe,,
230700,La-Mulana,,
230820,The Night of the Rabbit,,
230840,Daylight,,
231040,Beatbuddy: Tale of the Guardians,,
231160,The Swapper,,
231430,Company of Heroes 2,,
232050,Eador. Masters of the Broken World,,
232090,Killing Floor 2,,
232430,Gone Home,,
232750,Mars: War Logs,,
232770,POSTAL,,
232790,Broken Age,,
232910,TrackMania² Stadium,,
233130,Shadow Warrior,,
233150,LUFTRAUSERS,,
233270,Far Cry 3 - Blood Dragon,,
233290,Murdered: Soul Suspect,,
233450,Prison Architect,,
233470,Evoland,,
233610,Distance,,
233720,Surgeon Simulator,,
233840,Worms Clan Wars,,
233860,Kenshi,,
233980,UnEpic,,
234140,Mad Max,,
234270,Ken Follett's The Pillars of the Earth,,
234390,Teleglitch: Die More Edition,,
234630,Project CARS,,
234650,Shadowrun Returns,,
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,,
234900,Anodyne,,
235210,STRIDER™ / ストライダー飛竜®,,
235340,Prime World,,
235380,Blitzkrieg 3,,
235460,METAL GEAR RISING: REVENGEANCE,,
235540,Warhammer: End Times - Vermintide,,
235800,Audiosurf 2,,
236150,Starpoint Gemini 2,,
236390,War Thunder,,
236430,DARK SOULS™ II,,
236510,Takedown: Red Sabre,,
236690,Blood Bowl 2,,
236850,Europa Universalis IV,,
237630,DuckTales: Remastered,,
237740,Angry Video Game Nerd Adventures,,
237850,Dreamfall Chapters,,
237930,Transistor,,
237990,The Banner Saga,,
238010,Deus Ex: Human Revolution - Director's Cut,,
238210,System Shock 2,,
238320,Outlast,,
238430,Contagion,,
238460,BattleBlock Theater®,,
238750,Might & Magic X - Legacy,,
238960,Path of Exile,,
239030,"Papers, Please",,
239070,Hammerwatch,,
239120,FINAL FANTASY III,,
239140,Dying Light,,
239160,Thief,,
239200,Amnesia: A Machine for Pigs,,
239250,Castlevania: Lords of Shadow 2,,
239820,Game Dev Tycoon,,
239840,Dead State: Reanimated,,
240760,Wasteland 2: Director's Cut,,
241320,Ittle Dew,,
241410,CastleStorm,,
241560,The Crew™,,
241600,Rogue Legacy,,
241720,Guncraft,,
241910,Goodbye Deponia,,
242570,Space Hulk,,
242640,Styx: Master of Shadows,,
242680,Nuclear Throne,,
242700,Injustice: Gods Among Us Ultimate Edition,,
242760,The Forest,,
242820,140,,
242860,Verdun,,
242880,"Sir, You Are Being Hunted",,
242920,Banished,,
243200,Memoria,,
