publisher,d_publisher
Hopoo Games,0
Jesse Makkonen,0
ROCKFISH Games,0
"Jundroo, LLC",0
Fishing Cactus;Plug In Digital,0
SOEDESCO Publishing,0
THQ Nordic;EuroVideo Medien,1
Housemarque,0
Daniel Mullins Games,0
"NIS America, Inc.",0
HypeTrain Digital,0
D3 PUBLISHER,0
Hex Entertainment,0
EarthWork Games,0
"XSEED Games;Marvelous USA, Inc.;Marvelous",1
ConcernedApe,0
Ninja Theory,1
Holospark,0
SeithCG,0
HeroCraft,0
Sorath,0
The Game Bakers,0
Kasedo Games,0
WOLCEN Studio,0
Wube Software LTD.,1
Dream Reactor,0
Monomi Park,0
Rusty Lake,0
Adriaan de Jongh,0
Mi'pu'mi Games GmbH,0
WeirdBeard,0
Gun Media,0
Spearhead Games,0
Contingent99,0
Excalibur Games,0
Ysbryd Games;AGM PLAYISM,0
Owlchemy Labs,0
Thing Trunk,0
Texel Raptor,0
Suncrash,0
Ultimate Games S.A.;PlayWay S.A.,1
Ocelot Society,0
Alawar Premium,0
Curve Digital,0
Milestone S.r.l.,0
Madmind Studio,0
Kalypso Media,0
Grey Box;Six Foot,0
Neople,0
astragon Entertainment,0
Annapurna Interactive,0
Games Operators;PlayWay S.A.,1
Zadbox Entertainment,0
34BigThings srl,0
New Blood Interactive,0
Dear Villagers,0
Kyle Seeley,0
Crazy Monkey Studios,0
THE BROTHERHOOD,0
DolphinBarn,0
Scavengers Studio,0
Tequila Works,0
AtomTeam,0
Wargaming Group Limited,1
X.D. Network Inc.,1
RedCandleGames;AGM PLAYISM,0
Mixed Realms Pte Ltd,0
Laura Shigihara,0
Versus Evil;Obsidian Entertainment,1
Terrible Toybox,0
TT Games,1
David OReilly;Double Fine Presents,0
Kakao Games Europe B.V.,0
Edmund McMillen;Tyler Glaiel,0
Wales Interactive,0
Motion Twin,0
PQube Limited,0
Crema,0
Asymmetric,0
Mixtvision,0
Frozen District;PlayWay S.A.,1
Beat Games,0
WB Games,1
Blazing Griffin,0
Numantian Games,0
Mega Crit Games,0
Game Grumps,0
Total Mayhem Games,0
Headup;Whisper Games,0
Humble Bundle,0
Hempuli Oy,0
RedRuins Softworks,0
Sandbox Interactive GmbH,0
Activision (Excluding Japan and Asia);FromSoftware (Japan);<U+65B9><U+5757><U+6E38><U+620F> (Asia),1
Creepy Jar,1
"INTI CREATES CO., LTD.",0
Warner Bros Interactive Entertainment,1
Oxymoron Games,0
NEXT Studios;bilibili,0
